Honeypots,Honeypot deployment strategies|Low vs high interaction systems|Network honeypot configuration|Application honeypot setup|Data collection and analysis|Legal and ethical considerations|Honeypot maintenance|Threat intelligence generation
Authentication vs Authorization,Authentication mechanisms|Authorization models and frameworks|Role-based access control|Attribute-based access control|Single sign-on implementation|Federation and trust relationships|Access control testing|Privilege management
Blue / Red / Purple Teams,Blue team defensive operations|Red team offensive techniques|Purple team collaboration|Exercise planning and execution|Threat simulation methodologies|Skills development and training|Tool and technique sharing|Performance measurement
False Negative / False Positive,Detection accuracy metrics|Tuning and optimization techniques|Cost-benefit analysis|Alert fatigue management|Baseline establishment|Statistical analysis methods|Quality assurance processes|Continuous improvement strategies
True Negative / True Positive,Classification accuracy assessment|Confusion matrix analysis|Precision and recall metrics|ROC curve interpretation|Model validation techniques|Performance benchmarking|Alert quality measurement|Decision threshold optimization
"Basics of Threat Intel, OSINT",Threat intelligence lifecycle|OSINT collection methodologies|Source evaluation and validation|Intelligence analysis techniques|Indicator extraction and sharing|Threat actor profiling|Attribution analysis|Intelligence dissemination
Understand Handshakes,TCP three-way handshake|TLS/SSL handshake process|Authentication handshakes|Key exchange mechanisms|Handshake optimization|Troubleshooting connection issues|Security considerations|Performance impact analysis
Understand CIA Triad,Confidentiality protection methods|Integrity assurance techniques|Availability management strategies|Risk assessment frameworks|Security control implementation|Compliance and governance|Incident response procedures|Security awareness training
Privilege Escalation,Horizontal privilege escalation|Vertical privilege escalation|Windows privilege escalation|Linux privilege escalation|Web application privilege escalation|Database privilege escalation|Prevention and detection techniques|Post-exploitation techniques
Web Based Attacks and OWASP10,Injection attack techniques|Broken authentication exploitation|Sensitive data exposure|XML external entity attacks|Broken access control|Security misconfiguration|Cross-site scripting (XSS)|Insecure deserialization
Learn how Malware works and Types,Virus replication mechanisms|Worm propagation methods|Trojan horse techniques|Ransomware encryption|Spyware data collection|Adware distribution|Rootkit hiding techniques|Advanced persistent threats
curl,HTTP request methods with curl|Authentication mechanisms|Cookie and session handling|File upload and download|SSL certificate verification|Proxy configuration|Scripting and automation|Troubleshooting connection issues
hping,TCP packet crafting|UDP packet generation|ICMP packet construction|Network reconnaissance|Firewall testing|DoS attack simulation|Traceroute functionality|Performance testing
cat,File content display|Multiple file concatenation|Standard input processing|Binary file handling|Pipe and redirection usage|Text processing workflows|Script integration|Performance considerations
dd,Block-level data copying|Disk imaging and cloning|Data conversion options|Progress monitoring|Error handling|Performance optimization|Forensic applications|Backup and recovery
head,File beginning display|Line count specification|Byte count options|Multiple file processing|Pipe integration|Log file analysis|Script automation|Performance considerations
grep,Pattern matching fundamentals|Regular expression usage|File search operations|Recursive directory searching|Case sensitivity options|Output formatting|Performance optimization|Advanced pattern techniques
wireshark,Packet capture setup|Protocol analysis|Display filter creation|Network troubleshooting|Security analysis|Performance analysis|Custom dissector development|Capture file management
winhex,Hex editing fundamentals|Binary file analysis|Data recovery techniques|Disk sector editing|Template and script usage|Forensic applications|Data comparison|File signature analysis
memdump,Memory acquisition techniques|Live memory analysis|Process memory extraction|Kernel memory dumping|Memory image formats|Analysis tool integration|Volatile data preservation|Forensic best practices
FTK Imager,Disk imaging procedures|Evidence acquisition|Hash verification|Preview capabilities|Registry analysis|File system examination|Report generation|Chain of custody documentation
autopsy,Digital forensics workflow|Case management|File system analysis|Timeline creation|Keyword searching|Hash database integration|Report generation|Plugin development
tail,File end monitoring|Real-time log viewing|Line count specification|Multiple file tracking|Rotation handling|Pipe integration|Performance optimization|System monitoring
Salting,Password salt generation|Hash salt implementation|Rainbow table prevention|Salt storage strategies|Cryptographic best practices|Salt uniqueness requirements|Performance considerations|Security analysis
Hashing,Hash function properties|Cryptographic hash algorithms|Message digest creation|Hash collision analysis|Digital signature integration|Password hashing|File integrity verification|Performance optimization
Key Exchange,Diffie-Hellman protocol|RSA key exchange|Elliptic curve methods|Perfect forward secrecy|Key agreement protocols|Security considerations|Implementation best practices|Performance optimization
PKI,Certificate authority hierarchy|Digital certificate lifecycle|Certificate validation|Revocation mechanisms|Trust store management|Key escrow considerations|Cross-certification|PKI deployment strategies
Private vs Public Keys,Asymmetric cryptography concepts|Key pair generation|Digital signature creation|Encryption and decryption|Key management practices|Security considerations|Performance implications|Use case selection
Obfuscation,Code obfuscation techniques|Anti-reverse engineering methods|Binary packing|Control flow obfuscation|Data obfuscation strategies|Performance impact analysis|Deobfuscation techniques|Security effectiveness assessment
ATT&CK,MITRE ATT&CK framework|Tactic and technique mapping|Threat actor profiling|Detection rule development|Red team exercise planning|Security control assessment|Intelligence analysis|Framework implementation
Kill Chain,Cyber kill chain methodology|Attack phase identification|Defensive strategies|Intelligence requirements|Threat hunting applications|Incident response integration|Risk assessment|Mitigation planning
Diamond Model,Adversary capability analysis|Infrastructure identification|Victim characterization|Event correlation|Threat intelligence development|Attribution analysis|Defensive planning|Intelligence sharing
ISO,ISO 27001 implementation|Information security management|Risk assessment procedures|Control framework selection|Audit and compliance|Continuous improvement|Documentation requirements|Certification process
RMF,Risk Management Framework steps|Categorization procedures|Control selection process|Implementation guidance|Assessment methodologies|Authorization decisions|Monitoring strategies|Framework integration
CIS,CIS Controls implementation|Cybersecurity framework|Control prioritization|Maturity assessment|Implementation guidance|Measurement and metrics|Compliance mapping|Continuous improvement
CSF,NIST Cybersecurity Framework|Identify function implementation|Protect function strategies|Detect function capabilities|Respond function procedures|Recover function planning|Framework adoption|Maturity assessment
SIEM,Security event correlation|Log collection and normalization|Incident detection rules|Dashboard and reporting|Threat intelligence integration|Use case development|Tuning and optimization|Compliance reporting
SOAR,Security orchestration platforms|Automated response workflows|Playbook development|Integration capabilities|Incident response automation|Threat intelligence automation|Case management|Performance metrics
ParrotOS,Penetration testing toolkit|Security assessment tools|Digital forensics capabilities|Privacy and anonymity tools|System customization|Tool integration|Workflow optimization|Update management
Kali Linux,Penetration testing distribution|Information gathering tools|Vulnerability assessment|Web application testing|Wireless security testing|Digital forensics tools|Exploitation frameworks|Post-exploitation tools
LOLBAS,Living off the land techniques|Legitimate tool abuse|Windows binary exploitation|PowerShell living off land|Command line evasion|Detection evasion techniques|Incident response challenges|Defensive strategies
Event Logs,Windows event log analysis|Security event correlation|Log parsing techniques|Threat hunting with logs|Incident investigation|Log retention policies|SIEM integration|Forensic analysis
syslogs,Syslog protocol standards|Log forwarding configuration|Centralized logging setup|Log parsing and analysis|Security monitoring|Troubleshooting techniques|Performance optimization|Compliance requirements
netflow,Network flow monitoring|Flow data collection|Traffic analysis techniques|Security monitoring|Capacity planning|Performance optimization|Tool integration|Anomaly detection
Packet Captures,Network traffic capture|Protocol analysis|Security investigation|Performance troubleshooting|Capture optimization|Storage management|Analysis techniques|Legal considerations
Firewall Logs,Log format understanding|Security event analysis|Traffic pattern identification|Incident investigation|Compliance reporting|Performance monitoring|Alert correlation|Automation techniques
MAC-based,Media Access Control filtering|MAC address management|Wireless security implementation|Network access control|Spoofing prevention|Device identification|Authentication integration|Limitations and bypasses
NAC-based,Network Access Control deployment|Device posture assessment|Quarantine procedures|Guest network management|Compliance enforcement|Integration strategies|Troubleshooting techniques|Performance considerations
Port Blocking,Firewall port configuration|Service restriction policies|Application control|Security hardening|Network segmentation|Performance impact|Troubleshooting connectivity|Exception management
Group Policy,Active Directory policy management|Security configuration|User environment control|Software deployment|Registry modification|Troubleshooting techniques|Best practices|Performance optimization
ACLs,Access Control List configuration|Permission management|File system security|Network access control|Troubleshooting access issues|Inheritance concepts|Performance considerations|Security best practices
Sinkholes,DNS sinkhole implementation|Malware communication blocking|Threat intelligence integration|Network traffic redirection|Monitoring and analysis|Performance considerations|False positive management|Legal considerations
Patching,Patch management lifecycle|Vulnerability assessment|Testing procedures|Deployment strategies|Rollback procedures|Compliance tracking|Automation techniques|Risk assessment
Jump Server,Privileged access management|Secure remote access|Session recording|Access control implementation|Monitoring and auditing|High availability setup|Security hardening|Troubleshooting connectivity
Endpoint Security,Endpoint protection platforms|Malware detection|Behavioral analysis|Device compliance|Remote management|Incident response|Performance optimization|Integration strategies
FTP vs SFTP,Protocol security comparison|Authentication mechanisms|Encryption implementation|Port usage differences|Firewall configuration|Performance considerations|Migration strategies|Use case selection
SSL vs TLS,Protocol version differences|Security improvements|Cipher suite evolution|Vulnerability mitigation|Configuration best practices|Performance optimization|Compatibility considerations|Migration planning
IPSEC,IPSec protocol suite|VPN implementation|Encryption algorithms|Authentication headers|Security associations|Tunnel vs transport mode|Configuration procedures|Troubleshooting techniques
DNSSEC,DNS Security Extensions|Digital signature validation|Trust anchor management|Zone signing procedures|Validation process|Implementation challenges|Performance impact|Troubleshooting techniques
LDAPS,LDAP over SSL implementation|Certificate management|Secure authentication|Directory service security|Configuration procedures|Performance optimization|Troubleshooting techniques|Migration strategies
SRTP,Secure Real-time Transport Protocol|Voice over IP security|Key management|Encryption algorithms|Implementation procedures|Performance considerations|Interoperability issues|Troubleshooting techniques
S/MIME,Secure email messaging|Digital signatures|Email encryption|Certificate management|Client configuration|Interoperability considerations|Key management|Troubleshooting issues
