concept,subtopics
Core Programming Concepts,"Variables, Data Types, and Operators|Control Flow (Conditionals, Loops)|Functions and Procedures|Basic Data Structures (Arrays, Lists, Dictionaries)|Algorithms (Sorting, Searching Basics)|Error Handling and Debugging|Input/Output Operations"
OOP,Objects and Classes|Encapsulation and Data Hiding|Inheritance and Polymorphism|Abstraction and Interfaces/Protocols|Constructors and Destructors|Design Principles (SOLID)|Common Design Patterns
Functional Programming,"Pure Functions and Immutability|First-Class and Higher-Order Functions|Lambda Expressions and Closures|Map, Filter, Reduce Operations|Recursion vs. Iteration|Function Composition and Pipelining|Side Effects and Referential Transparency"
Memory Management,"Stack vs. Heap Memory|Manual Memory Management Concepts|Automatic Reference Counting (ARC)|Strong, Weak, and Unowned References|Memory Leaks and Retain Cycles|Memory Profiling Tools|Value Types vs. Reference Types"
ViewController Lifecycle,"Introduction to UIViewController|Initialization and View Loading (viewDidLoad, loadView)|View Appearance and Disappearance (viewWillAppear, viewDidAppear)|View Layout and Updates (viewWillLayoutSubviews, viewDidLayoutSubviews)|Memory Warnings and Deallocation (deinit)|Container View Controllers|Responding to Device Rotations and Trait Changes"
"Concurrency (GCD, async/await)",Introduction to Concurrency and Parallelism|Threads and Processes|Grand Central Dispatch (GCD) Queues|DispatchWorkItem and DispatchGroup|Semaphores and Locks for Synchronization|Operation Queues and Operations|async/await for Structured Concurrency|Task Groups and Actors
Pick a Language,Understanding Programming Paradigms|Evaluating Language Features and Syntax|Community Support and Ecosystem|Performance Characteristics|Use Cases and Industry Demand|Learning Curve and Available Resources|Tooling and IDE Support
Git,"Version Control System Basics|Initializing a Git Repository|Staging and Committing Changes|Viewing History and Differences|Branching and Merging Fundamentals|Resolving Merge Conflicts|Undoing Changes (reset, revert)|Remote Repositories and Pushing/Pulling"
GitHub,Introduction to GitHub Platform|Creating and Managing Repositories|Cloning and Forking Repositories|Pull Requests and Code Reviews|Issues and Project Management|GitHub Actions for CI/CD|Collaborating with Teams
Installing,"Choosing an Operating System for Development|Installing a Text Editor or IDE|Setting Up a Programming Language Environment|Package Managers (e.g., Homebrew, npm, pip)|Environment Variables Configuration|Command Line Tools Installation|Verifying Installation and Basic Setup"
New Project,Understanding Project Templates|Creating a New Project in an IDE|Project Structure and File Organization|Configuring Project Settings|Adding Dependencies and Frameworks|Initial Code Setup and Entry Point|Running the Project on a Simulator/Device
Interface overview,"Main Window Layout and Panes|Editor Area and Code Navigation|Utility Area (Inspectors, Libraries)|Debug Area and Console Output|Toolbar and Common Actions|Status Bar and Notifications|Customizing the Interface Layout"
Toolbar,"Understanding Toolbar Buttons and Icons|Run/Stop Buttons and Scheme Selection|Device/Simulator Selection|Navigators, Debug, and Utilities Toggles|Editor Layout Options|Source Control Actions|Customizing the Toolbar"
Navigators,"Project Navigator (File Structure)|Source Control Navigator (Git Integration)|Symbol Navigator (Code Structure)|Find Navigator (Search and Replace)|Issue Navigator (Errors, Warnings)|Test Navigator (Unit and UI Tests)|Debug Navigator (Breakpoints, Variables)|Report Navigator (Build Logs, Test Results)"
Project Files,"Understanding File Types (e.g., .swift, .xib, .storyboard)|Info.plist and Project Configuration|AppDelegate and SceneDelegate Roles|Asset Catalogs for Images and Colors|Localizable Strings and Internationalization|Managing Resources (e.g., Fonts, Sounds)|Target Membership and Build Phases"
Groups,Purpose of Groups in Project Navigator|Creating and Organizing Groups|Understanding Group vs. Folder on Disk|Moving and Renaming Groups|Best Practices for Grouping Files|Impact on Project Structure and Navigation|Using Groups for Modularity
Breakpoints,"Introduction to Debugging and Breakpoints|Setting and Disabling Breakpoints|Conditional Breakpoints|Exception Breakpoints|Symbolic Breakpoints|Actions and Sounds with Breakpoints|Viewing Variables and Call Stack at Breakpoint|Stepping Through Code (Step Over, Step Into, Step Out)"
Debug Navigator,Introduction to Xcode Debugging Tools|Understanding the Debug Navigator Pane|Viewing Call Stacks and Threads|Inspecting Variables and Memory Addresses|Using Breakpoints Effectively|Conditional Breakpoints and Exception Breakpoints|Debugging with LLDB Commands
Stepping,Introduction to Code Execution Flow|Step Over (next) Command|Step Into (step) Command|Step Out (finish) Command|Continue Execution|Setting and Managing Breakpoints for Stepping|Debugging Asynchronous Code with Stepping
Interface Builder,Introduction to Xcode Interface Builder|Adding UI Elements to a Canvas|Configuring Element Attributes in the Attributes Inspector|Connecting UI Elements to Code (IBOutlets/IBActions)|Using the Document Outline|Previewing UI on Different Devices|Resolving Auto Layout Issues in Interface Builder
IBOutlets,Purpose of IBOutlets in iOS Development|Connecting UI Elements to Code with IBOutlets|Declaring IBOutlet Properties in Swift|Accessing and Modifying IBOutlet Properties Programmatically|Understanding the 'weak' Keyword for IBOutlets|Troubleshooting Broken IBOutlet Connections
IBActions,"Purpose of IBActions for User Interaction|Connecting UI Events to Code with IBActions|Declaring IBAction Methods in Swift|Handling Different Control Events (e.g., touchUpInside)|Passing Sender Information to IBAction Methods|Troubleshooting Broken IBAction Connections"
Auto layout,Introduction to Responsive UI Design|Understanding Constraints and Layout Anchors|Applying Constraints in Interface Builder|Programmatic Auto Layout with NSLayoutConstraint|Using Visual Format Language (VFL)|Debugging Auto Layout Conflicts|Adaptive Layout for Different Device Sizes and Orientations
UIKit,"Introduction to the UIKit Framework|Core Components of UIKit (Views, Controls, View Controllers)|Understanding the Responder Chain|Event Handling in UIKit|Common UIKit Controls (Buttons, Labels, Text Fields)|Working with Table Views and Collection Views|Customizing UIKit Components"
Components,Understanding UI Components in Software Design|Standard UIKit Components Overview|Customizing Existing UI Components|Creating Reusable Custom UI Components|Component Lifecycle Management|Designing for Component Reusability and Modularity|Component-Based Architecture Principles
Views,"Introduction to UIView and its Role|View Hierarchy and Subviews|Drawing Custom Content in a View (draw(rect:))|Handling View Layout and Resizing|View Transformations (Rotation, Scaling, Translation)|Animating View Properties|Performance Considerations for Complex View Hierarchies"
View Controllers,"Introduction to UIViewController|View Controller Lifecycle Methods (viewDidLoad, viewWillAppear, etc.)|Managing a View Hierarchy with a View Controller|Presenting and Dismissing View Controllers|Container View Controllers (Navigation, Tab Bar, Split View)|Communication Between View Controllers|Memory Management in View Controllers"
User Interactions,"Understanding Touch Events and Gestures|Implementing Tap Gestures|Implementing Pan, Pinch, and Rotate Gestures|Handling Button Taps and Control Events|Responding to Keyboard Input|Accessibility for User Interactions|Customizing Gesture Recognizers"
Basic Interfaces,"Designing Simple UI Layouts|Adding Labels, Buttons, and Images|Arranging Elements with Stack Views|Setting Colors, Fonts, and Backgrounds|Connecting UI to Basic Logic (IBOutlets/IBActions)|Displaying Alerts and Action Sheets|Building a Single-Screen Application"
Storyboards,Introduction to Storyboards for UI Design|Adding Scenes and View Controllers to a Storyboard|Creating Segues for Navigation|Passing Data Between View Controllers with Segues|Using Storyboard References|Resolving Merge Conflicts in Storyboards|Modularizing Storyboards
Xibs,Introduction to XIB Files (NIBs)|Designing Individual Views or View Controllers in XIBs|Loading XIBs Programmatically|Connecting XIB Elements to Code|Advantages and Disadvantages of XIBs vs. Storyboards|Using XIBs for Custom Table View Cells or Collection View Cells|Managing Multiple XIBs in a Project
Navigation,Understanding Navigation Patterns in iOS|Using UINavigationController for Hierarchical Navigation|Pushing and Popping View Controllers|Implementing Tab Bar Navigation with UITabBarController|Presenting Modal View Controllers|Customizing Navigation Bars and Tab Bars|Deep Linking and Universal Links
View Transitions,Understanding Standard View Controller Transitions|Customizing Modal Presentation Styles|Implementing Custom View Controller Transitions|Using UIViewControllerAnimatedTransitioning Protocol|Interactive Transitions with UIPercentDrivenInteractiveTransition|Animating Changes within a Single View (UIView.animate)|Transitioning Between Different States of a View
SwiftUI,"Introduction to Declarative UI with SwiftUI|Basic SwiftUI Views (Text, Image, Button)|Layout Containers (VStack, HStack, ZStack)|Modifiers for Customizing Views|State Management with @State and @Binding|Lists and Navigation in SwiftUI|Integrating SwiftUI with UIKit (and vice-versa)"
Declarative Syntax,"Understanding Declarative vs. Imperative Programming|Core Principles of Declarative UI|Applying Modifiers and View Composition|Data Flow in Declarative UI Frameworks|Advantages of Declarative Syntax (Readability, Predictability)|Common Patterns in Declarative UI (e.g., View Builders)|Comparing Declarative UI (SwiftUI, React) with Imperative UI (UIKit)"
State Management,"Understanding Application State|Local State with @State (SwiftUI) or useState (React)|Passing State with @Binding (SwiftUI) or Props (React)|Observable Objects and @ObservedObject / @StateObject (SwiftUI)|Environment Objects and @EnvironmentObject (SwiftUI)|Introduction to Global State Management Solutions (e.g., Redux, Combine, TCA)|Managing Side Effects in State Management"
Data binding,"Introduction to Data Binding Concepts|One-Way Data Binding|Two-Way Data Binding|Data Binding in SwiftUI (@State, @Binding, @ObservedObject)|Connecting UI Elements to Data Sources|Understanding Property Wrappers for Data Binding|Observing Data Changes and UI Updates"
Building Interfaces,"UI/UX Principles and Best Practices|Layout Systems (e.g., Auto Layout, Flexbox, Grid)|Component-Based Architecture|Event Handling and User Interaction|Data Binding and State Management|Accessibility Considerations in UI|Responsive and Adaptive Design"
Views and Modifiers,"Basic View Types (Text, Image, Button)|View Hierarchy and Composition|Common View Modifiers (padding, font, foregroundColor)|Layout Modifiers (frame, alignment, spacing)|Conditional View Modifiers|Custom View Modifiers|Environment Values and Modifiers"
UI Design,"User-Centered Design Principles|Information Architecture and User Flows|Wireframing and Prototyping Tools|Visual Design Principles (Color, Typography, Iconography)|Usability Testing and Feedback Integration|Accessibility in UI Design|Introduction to Design Systems"
HIG,"Purpose and Importance of Human Interface Guidelines|Core Principles (Clarity, Deference, Depth)|Platform-Specific Guidelines (iOS, macOS, watchOS, tvOS)|Standard UI Elements and Behaviors|Accessibility Guidelines in HIG|Adapting HIG for Custom Experiences"
"Views, View Controllers","UIViewController Lifecycle Methods|UIView Hierarchy and Subviews|Initializing Views Programmatically vs. Storyboards/NIBs|Auto Layout Constraints and Layout Anchors|Event Handling with Target-Action|Data Display with UILabel, UIImageView, etc.|Custom UIViews and Controls"
"Navigation Controllers, Segues","UINavigationController Stack Management|Pushing and Popping View Controllers|Storyboard Segues (Show, Present Modally, Popover)|Programmatic Segues and Data Passing|UINavigationBar Customization|Custom Transition Animations for Segues"
Navigation Stacks,Stack Data Structure Basics (LIFO)|Pushing and Popping Operations in Navigation|Root View Controller and Navigation History|Managing Navigation State|Deep Linking and Stack Restoration|Programmatic Control of Navigation Stacks
Pushing Presenting,Differentiating Push vs. Present Modally|When to Use Each Navigation Style|Animation Types for Push and Present|Dismissing Presented View Controllers|Custom Transition Animations for Presentation|Handling Navigation Delegates
Modals and Navigation,"Purpose and Use Cases for Modal Presentations|Full Screen vs. Page Sheet Modals|Presenting Modally Programmatically|Dismissing Modals and Completion Handlers|Data Flow with Modals (Delegation, Callbacks)|Modal Presentation Styles and Customization"
Navigation View,Basic NavigationView Usage in SwiftUI|Embedding Views in NavigationView|NavigationBarTitle and DisplayMode|NavigationBarItems and Toolbar|Programmatic Navigation with isActive|Customizing Navigation Bar Appearance
NavigationLink,Basic NavigationLink Usage and Destination Views|Passing Data with NavigationLink|isActive Binding for Programmatic Navigation|Styling NavigationLink|Conditional Navigation with NavigationLink|Integrating with NavigationStack (iOS 16+)
Presenting / Dismissing views,UIKit: present(_:animated:completion:)|UIKit: dismiss(animated:completion:)|SwiftUI: @Environment(\.presentationMode)|SwiftUI: @Binding for Sheet/Modal Presentation|Custom Presentation Modifiers|Handling Completion Callbacks for Presentation
Basics / Creating Animations,"Core Animation Principles (Timing, Easing, Interpolation)|Implicit vs. Explicit Animations|Keyframe Animations|UIKit: UIView.animate and Options|SwiftUI: withAnimation and Animation Modifiers|Animatable Modifiers and Custom Transitions"
Lottie,"Introduction to Lottie and JSON Animations|Integrating Lottie into iOS/Android/Web Projects|Playing Lottie Animations|Controlling Animation Progress and Speed|Looping and Reversing Animations|Interacting with Lottie Animations (Gestures, Markers)"
MVC,"Core Components: Model, View, Controller|Responsibilities of Each Component|Communication Patterns (Target-Action, Delegation)|Advantages and Disadvantages of MVC|MVC in UIKit Applications|Refactoring Massive View Controllers"
MVP,"Core Components: Model, View, Presenter|Passive View vs. Supervising Controller|Presenter's Role in Logic and View Updates|Communication Between Components|Testability of MVP Components|Comparing MVP to MVC"
MVVM,"Core Components: Model, View, ViewModel|Data Binding and Observables|ViewModel's Role in Exposing Data and Commands|Separation of Concerns in MVVM|Testability of ViewModels|MVVM with SwiftUI and Combine"
MVVM-C,Introduction to the Coordinator Pattern|Solving Navigation Concerns in MVVM|Responsibilities of the Coordinator|Flow Coordinators and Child Coordinators|Integrating MVVM-C with Existing MVVM|Advantages for Complex Navigation Flows
VIPER,"Core Components: View, Interactor, Presenter, Entity, Router|Single Responsibility Principle in VIPER|Data Flow and Communication Between Layers|Testability of VIPER Components|Advantages for Large-Scale Applications|Setting up a VIPER Module"
TCA,"Introduction to Functional Reactive Programming|Core Concepts: State, Action, Reducer, Environment|Unidirectional Data Flow in TCA|Testing Reducers and Effects|Composing Features and Reducers|Side Effects and Effects Management|Integrating TCA with SwiftUI"
Architectural Patterns,Introduction to Software Architecture|Monolithic vs Microservices Architecture|Client-Server and Layered Architectures|Model-View-Controller (MVC) Pattern|Model-View-ViewModel (MVVM) Pattern|Event-Driven Architecture Principles|Serverless Architecture Fundamentals
Reactive Programming,"Introduction to Reactive Paradigm|Core Principles: Streams, Events, Asynchrony|Push vs Pull Systems in Reactive Programming|Functional Reactive Programming (FRP) Basics|Hot vs Cold Observables Explained|Backpressure Management Strategies|Error Handling in Reactive Streams"
Publishers / Subscribers,"Introduction to Publisher-Subscriber Pattern|Core Components: Publishers, Subscribers, Events|Decoupling with Pub/Sub|Synchronous vs Asynchronous Pub/Sub|Event Buses and Message Brokers|Implementing Custom Publishers|Managing Subscriptions and Lifecycle"
Operators & Pipelines,"Introduction to Reactive Operators|Common Transformation Operators (map, flatMap, filter)|Combination Operators (combineLatest, merge, zip)|Filtering Operators (debounce, distinctUntilChanged)|Error Handling Operators (catch, retry)|Time-Based Operators (delay, throttle)|Building Complex Reactive Pipelines"
Combine and MVVM,Introduction to Apple's Combine Framework|Publishers and Subscribers in Combine|Combine Operators for Data Transformation|Integrating Combine with SwiftUI|MVVM Architecture Overview|ViewModel Design with Combine|Data Binding in MVVM using Combine|Handling User Input and State with Combine & MVVM
RxSwift,"Introduction to RxSwift and ReactiveX|Observables and Observers in RxSwift|Disposables and Memory Management|Common RxSwift Operators (map, filter, flatMap)|Subjects in RxSwift (PublishSubject, BehaviorSubject)|Schedulers for Concurrency Management|Error Handling Strategies in RxSwift"
Observables & observers,"Definition of Observables and Observers|Creating Observables (just, of, from, create)|Subscribing to Observables|Lifecycle of an Observable Subscription|Hot vs Cold Observables Explained|Unsubscribing and Resource Management|Error and Completion Events"
Subjects,Introduction to Reactive Subjects|PublishSubject: Emitting New Elements|BehaviorSubject: Emitting Last and New Elements|ReplaySubject: Emitting a Buffer of Past Elements|AsyncSubject: Emitting Only the Last Element on Completion|Using Subjects for Event Bridging|Subject as an Observable and an Observer
RxSwift with MVVM,MVVM Architecture Principles Refresher|Designing ViewModels with RxSwift|Data Binding from ViewModel to View using RxSwift|Handling User Interactions with RxSwift in MVVM|Error Handling and Loading States in MVVM|Using Drivers and Signals for UI Binding|Testing RxSwift MVVM Components
